RGT,date_summer,date_winter
1290,2021-06-17,2020-12-17
1291,2021-06-17,2020-12-17
1297,2021-06-17,2020-12-18
1298,2021-06-17,2020-12-18
1305,2021-06-18,2020-12-18
1306,2021-06-18,2020-12-18
1312,2021-06-18,2020-12-19
1313,2021-06-18,2020-12-19
1321,2021-06-19,2020-12-19
1328,2021-06-19,2020-12-20
1336,2021-06-20,2020-12-20
1337,2021-06-20,2020-12-20
1343,2021-06-20,2020-12-21
1344,2021-06-20,2020-12-21
1359,2021-06-21,2020-12-22
1366,2021-06-22,2020-12-22
1367,2021-06-22,2020-12-22
1373,2021-06-22,2020-12-23
1374,2021-06-22,2020-12-23
1382,2021-06-23,2020-12-23
